module,type,name,res_id,src,value
account,model,"email.template,body_html",account.email_template_edi_invoice,"
<div style=""font-family: 'Lucica Grande', Ubuntu, Arial, Verdana, sans-serif; font-size: 12px; color: rgb(34, 34, 34); background-color: #FFF; "">

    <p>Hello${object.address_invoice_id.name and ' ' or ''}${object.address_invoice_id.name or ''},</p>

    <p>A new invoice is available for ${object.partner_id.name}: </p>

    <p style=""border-left: 1px solid #8e0000; margin-left: 30px;"">
       &nbsp;&nbsp;<strong>REFERENCES</strong><br />
       &nbsp;&nbsp;Invoice number: <strong>${object.number}</strong><br />
       &nbsp;&nbsp;Invoice total: <strong>${object.amount_total} ${object.currency_id.name}</strong><br />
       &nbsp;&nbsp;Invoice date: ${object.date_invoice}<br />
       % if object.origin:
       &nbsp;&nbsp;Order reference: ${object.origin}<br />
       % endif
       &nbsp;&nbsp;Your contact: <a href=""mailto:${object.user_id.user_email or ''}?subject=Invoice%20${object.number}"">${object.user_id.name}</a>
    </p>

    <p>
    You can view the invoice document, download it and pay online using the following link:
    </p>
            <a style=""display:block; width: 150px; height:20px; margin-left: 120px; color: #DDD; font-family: 'Lucida Grande', Helvetica, Arial, sans-serif; font-size: 13px; font-weight: bold; text-align: center; text-decoration: none !important; line-height: 1; padding: 5px 0px 0px 0px; background-color: #8E0000; border-radius: 5px 5px; background-repeat: repeat no-repeat;""
               href=""${ctx.get('edi_web_url_view') or ''}"">View Invoice</a>

    % if object.company_id.paypal_account and object.type in ('out_invoice', 'in_refund'):
    <%
    comp_name = quote(object.company_id.name)
    inv_number = quote(object.number)
    paypal_account = quote(object.company_id.paypal_account)
    inv_amount = quote(str(object.amount_total))
    cur_name = quote(object.currency_id.name)
    paypal_url = ""https://www.paypal.com/cgi-bin/webscr?cmd=_xclick&amp;business=%s&amp;item_name=%s%%20Invoice%%20%s&amp;"" \
                 ""invoice=%s&amp;amount=%s&amp;currency_code=%s&amp;button_subtype=services&amp;no_note=1&amp;bn=OpenERP_Invoice_PayNow_%s"" % \
                 (paypal_account,comp_name,inv_number,inv_number,inv_amount,cur_name,cur_name)
    %>
    <br/>
    <p>It is also possible to directly pay with Paypal:</p>
        <a style=""margin-left: 120px;"" href=""${paypal_url}"">
            <img class=""oe_edi_paypal_button"" src=""https://www.paypal.com/en_US/i/btn/btn_paynowCC_LG.gif""/>
        </a>
    % endif

    <br/>
    <p>If you have any question, do not hesitate to contact us.</p>
    <p>Thank you for choosing ${object.company_id.name or 'us'}!</p>
    <br/>
    <br/>
    <div style=""width: 375px; margin: 0px; padding: 0px; background-color: #8E0000; border-top-left-radius: 5px 5px; border-top-right-radius: 5px 5px; background-repeat: repeat no-repeat;"">
        <h3 style=""margin: 0px; padding: 2px 14px; font-size: 12px; color: #DDD;"">
            <strong style=""text-transform:uppercase;"">${object.company_id.name}</strong></h3>
    </div>
    <div style=""width: 347px; margin: 0px; padding: 5px 14px; line-height: 16px; background-color: #F2F2F2;"">
        <span style=""color: #222; margin-bottom: 5px; display: block; "">
        % if object.company_id.street:
            ${object.company_id.street}<br/>
        % endif
        % if object.company_id.street2:
            ${object.company_id.street2}<br/>
        % endif
        % if object.company_id.city or object.company_id.zip:
            ${object.company_id.zip} ${object.company_id.city}<br/>
        % endif
        % if object.company_id.country_id:
            ${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}<br/>
        % endif
        </span>
        % if object.company_id.phone:
            <div style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; "">
                Phone:&nbsp; ${object.company_id.phone}
            </div>
        % endif
        % if object.company_id.website:
            <div>
                Web :&nbsp;<a href=""${object.company_id.website}"">${object.company_id.website}</a>
            </div>
        %endif
        <p></p>
    </div>
</div>
            ","
<div style=""font-family: 'Lucica Grande', Ubuntu, Arial, Verdana, sans-serif; font-size: 12px; color: rgb(34, 34, 34); background-color: #FFF; "">

    <p>Hello${object.address_invoice_id.name and ' ' or ''}${object.address_invoice_id.name or ''},</p>

    <p>A new invoice is available for ${object.partner_id.name}: </p>

    <p style=""border-left: 1px solid #8e0000; margin-left: 30px;"">
       &nbsp;&nbsp;<strong>REFERENCES</strong><br />
       &nbsp;&nbsp;Invoice number: <strong>${object.number}</strong><br />
       &nbsp;&nbsp;Invoice total: <strong>${object.amount_total} ${object.currency_id.name}</strong><br />
       &nbsp;&nbsp;Invoice date: ${object.date_invoice}<br />
       % if object.origin:
       &nbsp;&nbsp;Order reference: ${object.origin}<br />
       % endif
       &nbsp;&nbsp;Your contact: <a href=""mailto:${object.user_id.user_email or ''}?subject=Invoice%20${object.number}"">${object.user_id.name}</a>
    </p>

    <p>
    Você pode visualizar a nota. Faça o download e pague online usando o link:
    </p>
            <a style=""display:block; width: 150px; height:20px; margin-left: 120px; color: #DDD; font-family: 'Lucida Grande', Helvetica, Arial, sans-serif; font-size: 13px; font-weight: bold; text-align: center; text-decoration: none !important; line-height: 1; padding: 5px 0px 0px 0px; background-color: #8E0000; border-radius: 5px 5px; background-repeat: repeat no-repeat;""
               href=""${ctx.get('edi_web_url_view') or ''}"">Visualizar Nota</a>

    % if object.company_id.paypal_account and object.type in ('out_invoice', 'in_refund'):
    <%
    comp_name = quote(object.company_id.name)
    inv_number = quote(object.number)
    paypal_account = quote(object.company_id.paypal_account)
    inv_amount = quote(str(object.amount_total))
    cur_name = quote(object.currency_id.name)
    paypal_url = ""https://www.paypal.com/cgi-bin/webscr?cmd=_xclick&amp;business=%s&amp;item_name=%s%%20Invoice%%20%s&amp;"" \
                 ""invoice=%s&amp;amount=%s&amp;currency_code=%s&amp;button_subtype=services&amp;no_note=1&amp;bn=OpenERP_Invoice_PayNow_%s"" % \
                 (paypal_account,comp_name,inv_number,inv_number,inv_amount,cur_name,cur_name)
    %>
    <br/>
    <p>It is also possible to directly pay with Paypal:</p>
        <a style=""margin-left: 120px;"" href=""${paypal_url}"">
            <img class=""oe_edi_paypal_button"" src=""https://www.paypal.com/en_US/i/btn/btn_paynowCC_LG.gif""/>
        </a>
    % endif

    <br/>
    <p>Se tiver alguma dúvida, não hesite em nos contactar.</p>
    <p>Obrigado por escolher a ${object.company_id.name or 'us'}!</p>
    <br/>
    <br/>
    <div style=""width: 375px; margin: 0px; padding: 0px; background-color: #8E0000; border-top-left-radius: 5px 5px; border-top-right-radius: 5px 5px; background-repeat: repeat no-repeat;"">
        <h3 style=""margin: 0px; padding: 2px 14px; font-size: 12px; color: #DDD;"">
            <strong style=""text-transform:uppercase;"">${object.company_id.name}</strong></h3>
    </div>
    <div style=""width: 347px; margin: 0px; padding: 5px 14px; line-height: 16px; background-color: #F2F2F2;"">
        <span style=""color: #222; margin-bottom: 5px; display: block; "">
        % if object.company_id.street:
            ${object.company_id.street}<br/>
        % endif
        % if object.company_id.street2:
            ${object.company_id.street2}<br/>
        % endif
        % if object.company_id.city or object.company_id.zip:
            ${object.company_id.zip} ${object.company_id.city}<br/>
        % endif
        % if object.company_id.country_id:
            ${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}<br/>
        % endif
        </span>
        % if object.company_id.phone:
            <div style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; "">
                Phone:&nbsp; ${object.company_id.phone}
            </div>
        % endif
        % if object.company_id.website:
            <div>
                Web :&nbsp;<a href=""${object.company_id.website}"">${object.company_id.website}</a>
            </div>
        %endif
        <p></p>
    </div>
</div>
            "
account,model,"email.template,body_text",account.email_template_edi_invoice,"
Hello${object.address_invoice_id.name and ' ' or ''}${object.address_invoice_id.name or ''},

A new invoice is available for ${object.partner_id.name}:
       | Invoice number: *${object.number}*
       | Invoice total: *${object.amount_total} ${object.currency_id.name}*
       | Invoice date: ${object.date_invoice}
       % if object.origin:
       | Order reference: ${object.origin}
       % endif
       | Your contact: ${object.user_id.name} ${object.user_id.user_email and '<%s>'%(object.user_id.user_email) or ''}

You can view the invoice document, download it and pay online using the following link:
    ${ctx.get('edi_web_url_view') or 'n/a'}

% if object.company_id.paypal_account and object.type in ('out_invoice', 'in_refund'):
<%
comp_name = quote(object.company_id.name)
inv_number = quote(object.number)
paypal_account = quote(object.company_id.paypal_account)
inv_amount = quote(str(object.amount_total))
cur_name = quote(object.currency_id.name)
paypal_url = ""https://www.paypal.com/cgi-bin/webscr?cmd=_xclick&business=%s&item_name=%s%%20Invoice%%20%s""\
             ""&invoice=%s&amount=%s&currency_code=%s&button_subtype=services&no_note=1&bn=OpenERP_Invoice_PayNow_%s"" % \
             (paypal_account,comp_name,inv_number,inv_number,inv_amount,cur_name,cur_name)
%>
It is also possible to directly pay with Paypal:
    ${paypal_url}
% endif

If you have any question, do not hesitate to contact us.


Thank you for choosing ${object.company_id.name}!


--
${object.user_id.name} ${object.user_id.user_email and '<%s>'%(object.user_id.user_email) or ''}
${object.company_id.name}
% if object.company_id.street:
${object.company_id.street or ''}
% endif
% if object.company_id.street2:
${object.company_id.street2}
% endif
% if object.company_id.city or object.company_id.zip:
${object.company_id.zip or ''} ${object.company_id.city or ''}
% endif
% if object.company_id.country_id:
${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}
% endif
% if object.company_id.phone:
Phone: ${object.company_id.phone}
% endif
% if object.company_id.website:
${object.company_id.website or ''}
% endif
            ","
Olá ${object.address_invoice_id.name and ' ' or ''}${object.address_invoice_id.name or ''},

Uma nova fatura está disponível para ${object.partner_id.name}:
       | Número da Fatura: *${object.number}*
       | Total da Fatura: *${object.amount_total} ${object.currency_id.name}*
       | Data da Fatura: ${object.date_invoice}
       % if object.origin:
       | Referente a: ${object.origin}
       % endif
       | Seu contato: ${object.user_id.name} ${object.user_id.user_email and '<%s>'%(object.user_id.user_email) or ''}

Você pode ver a fatura, fazer o download e pagar online usando o seguinte link:
    ${ctx.get('edi_web_url_view') or 'n/a'}

% if object.company_id.paypal_account and object.type in ('out_invoice', 'in_refund'):
<%
comp_name = quote(object.company_id.name)
inv_number = quote(object.number)
paypal_account = quote(object.company_id.paypal_account)
inv_amount = quote(str(object.amount_total))
cur_name = quote(object.currency_id.name)
paypal_url = ""https://www.paypal.com/cgi-bin/webscr?cmd=_xclick&business=%s&item_name=%s%%20Invoice%%20%s""\
             ""&invoice=%s&amount=%s&currency_code=%s&button_subtype=services&no_note=1&bn=OpenERP_Invoice_PayNow_%s"" % \
             (paypal_account,comp_name,inv_number,inv_number,inv_amount,cur_name,cur_name)
%>
É possível pagar diretamente através do Paypal:
    ${paypal_url}
% endif

Se você tiver alguma dúvida por favor entre em contato conosco.


Obrigado por escolher ${object.company_id.name}!


--
${object.user_id.name} ${object.user_id.user_email and '<%s>'%(object.user_id.user_email) or ''}
${object.company_id.name}
% if object.company_id.street:
${object.company_id.street or ''}
% endif
% if object.company_id.street2:
${object.company_id.street2}
% endif
% if object.company_id.city or object.company_id.zip:
${object.company_id.zip or ''} ${object.company_id.city or ''}
% endif
% if object.company_id.country_id:
${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}
% endif
% if object.company_id.phone:
Phone: ${object.company_id.phone}
% endif
% if object.company_id.website:
${object.company_id.website or ''}
% endif
            "
account,view,analytic.entries.report,0,    7 Days    ,    7 Dias
account,view,analytic.entries.report,0,   30 Days   ,   30 Dias
account,view,analytic.entries.report,0,  365 Days  ,  365 dias
account,view,account.payment.term.line,0,  Day of the Month: 0,  Dia do mês: 0
account,view,account.payment.term.line,0,  Day of the Month= -1,  Dia do mês= -1
account,view,account.payment.term.line,0,  Number of Days: 14,  Números de Dias: 14
account,view,account.payment.term.line,0,  Number of Days: 30,  Número de dias: 30
account,view,account.payment.term.line,0,  Valuation: Balance,  Avaliação: Balanço
