"id","codigo","ocupacao"
"__export__.hr_cbo_13804","612510","Abacaxicultor"
"__export__.hr_cbo_11856","263105","Abade"
"__export__.hr_cbo_11863","263105","Abadessa"
"__export__.hr_cbo_14069","622020","Abanador na agricultura"
"__export__.hr_cbo_17044","862120","Abastecedor de caldeira"
"__export__.hr_cbo_16358","784205","Abastecedor de linha de produção"
"__export__.hr_cbo_16357","784205","Abastecedor de máquinas de linha de produção"
"__export__.hr_cbo_14582","632605","Abastecedor de silos de carvão"
"__export__.hr_cbo_19808","848505","Abatedor"
"__export__.hr_cbo_16940","848505","Abatedor  em matadouro"
"__export__.hr_cbo_14438","632125","Abatedor - na extração de madeira"
"__export__.hr_cbo_16944","848505","Abatedor de animais"
"__export__.hr_cbo_16945","848505","Abatedor de aves"
"__export__.hr_cbo_16918","848505","Abatedor de gado"
"__export__.hr_cbo_16919","848505","Abatedor de galinha"
"__export__.hr_cbo_16920","848505","Abatedor de porco"
"__export__.hr_cbo_13953","613405","Abelheiro"
"__export__.hr_cbo_14740","711410","Abridor - nas salinas"
"__export__.hr_cbo_15712","761205","Abridor de lã"
"__export__.hr_cbo_19401","764305","Acabador de calçados"
"__export__.hr_cbo_15992","768125","Acabador de chapéus de palha"
"__export__.hr_cbo_19438","766305","Acabador de embalagens (flexíveis e cartotécnicas)"
"__export__.hr_cbo_15145","722305","Acabador de macho - na fundição"
"__export__.hr_cbo_14915","716525","Acabador de mármore e granito"
"__export__.hr_cbo_15160","722315","Acabador de moldes (fundição)"
"__export__.hr_cbo_14784","712220","Acabador de pedras"
"__export__.hr_cbo_19065","716105","Acabador de superfícies de concreto"
"__export__.hr_cbo_14824","715205","Acafelador"
"__export__.hr_cbo_14518","632405","Açaizeiro"
"__export__.hr_cbo_15068","721325","Acepilhador de metais"
"__export__.hr_cbo_15707","761240","Acertador de maçaroqueira"
"__export__.hr_cbo_13487","516210","Acompanhante de idosos"
"__export__.hr_cbo_19809","848510","Açougueiro"
"__export__.hr_cbo_16955","848520","Açougueiro classificador (exclusive comércio)"
"__export__.hr_cbo_16966","848525","Açougueiro cortador (exclusive comércio)"
"__export__.hr_cbo_16950","848515","Açougueiro desossador"
"__export__.hr_cbo_16922","848510","Açougueiro retalhista"
"__export__.hr_cbo_18509","376205","Acrobata"
"__export__.hr_cbo_12278","322105","Acupuntor"
"__export__.hr_cbo_12289","322105","Acupunturista"
"__export__.hr_cbo_11575","261505","Adaptador de obras para teatro, cinema e televisão"
"__export__.hr_cbo_10261","141410","Adegueiro"
"__export__.hr_cbo_10185","141405","Adeleiro  (comércio atacadista)"
"__export__.hr_cbo_10126","141410","Adeleiro (comércio varejista)"
"__export__.hr_cbo_18891","623005","Adestrador de animais"
"__export__.hr_cbo_14279","623105","Adestrador de animais de trabalho ( asininos e muares)"
"__export__.hr_cbo_14267","623125","Adestrador (eqüinos)"
"__export__.hr_cbo_18043","252105","Administrador"
"__export__.hr_cbo_11864","263105","Administrador apostólico"
