"id","active","bic","name","country/id"
"__export__.res_bank_48","True","246","Banco ABC Brasil S.A.","base.br"
"__export__.res_bank_9","True","025","Banco Alfa S.A.","base.br"
"__export__.res_bank_86","True","641","Banco Alvorada S.A.","base.br"
"__export__.res_bank_10","True","029","Banco Banerj S.A.","base.br"
"__export__.res_bank_2","True","000","Banco Bankpar S.A.","base.br"
"__export__.res_bank_94","True","740","Banco Barclays S.A.","base.br"
"__export__.res_bank_33","True","107","Banco BBM S.A.","base.br"
"__export__.res_bank_11","True","031","Banco Beg S.A.","base.br"
"__export__.res_bank_93","True","739","Banco BGN S.A.","base.br"
"__export__.res_bank_31","True","096","Banco BM&FBOVESPA de Serviços de Liquidação e Custódia S.A","base.br"
"__export__.res_bank_54","True","318","Banco BMG S.A.","base.br"
"__export__.res_bank_101","True","752","Banco BNP Paribas Brasil S.A.","base.br"
"__export__.res_bank_49","True","248","Banco Boavista Interatlântico S.A.","base.br"
"__export__.res_bank_42","True","218","Banco Bonsucesso S.A.","base.br"
"__export__.res_bank_22","True","065","Banco Bracce S.A.","base.br"
"__export__.res_bank_13","True","036","Banco Bradesco BBI S.A.","base.br"
"__export__.res_bank_37","True","204","Banco Bradesco Cartões S.A.","base.br"
"__export__.res_bank_62","True","394","Banco Bradesco Financiamentos S.A.","base.br"
"__export__.res_bank_47","True","237","Banco Bradesco S.A.","base.br"
"__export__.res_bank_38","True","208","Banco BTG Pactual S.A.","base.br"
"__export__.res_bank_52","True","263","Banco Cacique S.A.","base.br"
"__export__.res_bank_70","True","473","Banco Caixa Geral - Brasil S.A.","base.br"
"__export__.res_bank_15","True","040","Banco Cargill S.A.","base.br"
"__export__.res_bank_46","True","233","Banco Cifra S.A.","base.br"
"__export__.res_bank_95","True","745","Banco Citibank S.A.","base.br"
"__export__.res_bank_40","True","215","Banco Comercial e de Investimento Sudameris S.A.","base.br"
"__export__.res_bank_30","True","095","Banco Confidence de Câmbio S.A.","base.br"
"__export__.res_bank_103","True","756","Banco Cooperativo do Brasil S.A. - BANCOOB","base.br"
"__export__.res_bank_98","True","748","Banco Cooperativo Sicredi S.A.","base.br"
"__export__.res_bank_43","True","222","Banco Credit Agricole Brasil S.A.","base.br"
"__export__.res_bank_76","True","505","Banco Credit Suisse (Brasil) S.A.","base.br"
"__export__.res_bank_4","True","003","Banco da Amazônia S.A.","base.br"
"__export__.res_bank_106","True","083","Banco da China Brasil S.A.","base.br"
"__export__.res_bank_91","True","707","Banco Daycoval S.A.","base.br"
"__export__.res_bank_8","True","024","Banco de Pernambuco S.A. - BANDEPE","base.br"
"__export__.res_bank_68","True","456","Banco de Tokyo-Mitsubishi UFJ Brasil S.A.","base.br"
"__export__.res_bank_39","True","214","Banco Dibens S.A.","base.br"
"__export__.res_bank_3","True","001","Banco do Brasil S.A.","base.br"
