"id","cfop_dentro_estado_id/id","cfop_fora_estado_id/id","cfop_fora_pais_id/id"
"__export__.sped_cfop_1","__export__.sped_cfop_1","__export__.sped_cfop_118","__export__.sped_cfop_227"
"__export__.sped_cfop_2","__export__.sped_cfop_2","__export__.sped_cfop_119","__export__.sped_cfop_228"
"__export__.sped_cfop_3","__export__.sped_cfop_3","__export__.sped_cfop_120",""
"__export__.sped_cfop_4","__export__.sped_cfop_4","__export__.sped_cfop_121",""
"__export__.sped_cfop_5","__export__.sped_cfop_5","__export__.sped_cfop_122",""
"__export__.sped_cfop_6","__export__.sped_cfop_6","__export__.sped_cfop_123",""
"__export__.sped_cfop_7","__export__.sped_cfop_7","__export__.sped_cfop_124",""
"__export__.sped_cfop_8","__export__.sped_cfop_8","__export__.sped_cfop_125",""
"__export__.sped_cfop_9","__export__.sped_cfop_9","__export__.sped_cfop_126",""
"__export__.sped_cfop_10","__export__.sped_cfop_10","__export__.sped_cfop_127",""
"__export__.sped_cfop_11","__export__.sped_cfop_11","__export__.sped_cfop_128",""
"__export__.sped_cfop_12","__export__.sped_cfop_12","__export__.sped_cfop_129",""
"__export__.sped_cfop_13","__export__.sped_cfop_13","__export__.sped_cfop_130","__export__.sped_cfop_229"
"__export__.sped_cfop_14","__export__.sped_cfop_14","__export__.sped_cfop_131","__export__.sped_cfop_231"
"__export__.sped_cfop_15","__export__.sped_cfop_15","__export__.sped_cfop_132",""
"__export__.sped_cfop_16","__export__.sped_cfop_16","__export__.sped_cfop_133",""
"__export__.sped_cfop_17","__export__.sped_cfop_17","__export__.sped_cfop_134",""
"__export__.sped_cfop_18","__export__.sped_cfop_18","__export__.sped_cfop_135",""
"__export__.sped_cfop_19","__export__.sped_cfop_19","__export__.sped_cfop_136","__export__.sped_cfop_232"
"__export__.sped_cfop_20","__export__.sped_cfop_20","__export__.sped_cfop_137","__export__.sped_cfop_233"
"__export__.sped_cfop_21","__export__.sped_cfop_21","__export__.sped_cfop_138",""
"__export__.sped_cfop_22","__export__.sped_cfop_22","__export__.sped_cfop_139",""
"__export__.sped_cfop_23","__export__.sped_cfop_23","__export__.sped_cfop_140","__export__.sped_cfop_234"
"__export__.sped_cfop_24","__export__.sped_cfop_24","__export__.sped_cfop_141","__export__.sped_cfop_235"
"__export__.sped_cfop_25","__export__.sped_cfop_25","__export__.sped_cfop_142","__export__.sped_cfop_236"
"__export__.sped_cfop_26","__export__.sped_cfop_26","__export__.sped_cfop_143",""
"__export__.sped_cfop_27","__export__.sped_cfop_27","__export__.sped_cfop_144",""
"__export__.sped_cfop_28","__export__.sped_cfop_28","__export__.sped_cfop_145","__export__.sped_cfop_239"
"__export__.sped_cfop_29","__export__.sped_cfop_29","__export__.sped_cfop_146",""
"__export__.sped_cfop_30","__export__.sped_cfop_30","__export__.sped_cfop_147",""
"__export__.sped_cfop_31","__export__.sped_cfop_31","__export__.sped_cfop_148",""
"__export__.sped_cfop_32","__export__.sped_cfop_32","__export__.sped_cfop_149",""
"__export__.sped_cfop_33","__export__.sped_cfop_33","__export__.sped_cfop_150",""
"__export__.sped_cfop_34","__export__.sped_cfop_34","__export__.sped_cfop_151",""
"__export__.sped_cfop_35","__export__.sped_cfop_35","__export__.sped_cfop_152","__export__.sped_cfop_240"
"__export__.sped_cfop_36","__export__.sped_cfop_36","__export__.sped_cfop_153",""
"__export__.sped_cfop_37","__export__.sped_cfop_37","__export__.sped_cfop_154",""
"__export__.sped_cfop_38","__export__.sped_cfop_38","__export__.sped_cfop_155",""
"__export__.sped_cfop_39","__export__.sped_cfop_39","__export__.sped_cfop_156",""
"__export__.sped_cfop_40","__export__.sped_cfop_40","__export__.sped_cfop_157",""
"__export__.sped_cfop_41","__export__.sped_cfop_41","__export__.sped_cfop_158","__export__.sped_cfop_241"
"__export__.sped_cfop_42","__export__.sped_cfop_42","__export__.sped_cfop_159","__export__.sped_cfop_242"
"__export__.sped_cfop_43","__export__.sped_cfop_43","__export__.sped_cfop_160","__export__.sped_cfop_243"
"__export__.sped_cfop_44","__export__.sped_cfop_44","__export__.sped_cfop_161","__export__.sped_cfop_244"
"__export__.sped_cfop_45","__export__.sped_cfop_45","__export__.sped_cfop_162","__export__.sped_cfop_245"
"__export__.sped_cfop_46","__export__.sped_cfop_46","__export__.sped_cfop_163","__export__.sped_cfop_246"
"__export__.sped_cfop_47","__export__.sped_cfop_47","",""
"__export__.sped_cfop_48","__export__.sped_cfop_48","__export__.sped_cfop_164",""
"__export__.sped_cfop_49","__export__.sped_cfop_49","__export__.sped_cfop_165",""
"__export__.sped_cfop_50","__export__.sped_cfop_50","__export__.sped_cfop_166",""
"__export__.sped_cfop_51","__export__.sped_cfop_51","__export__.sped_cfop_167",""
"__export__.sped_cfop_52","__export__.sped_cfop_52","__export__.sped_cfop_168",""
"__export__.sped_cfop_53","__export__.sped_cfop_53","__export__.sped_cfop_169",""
