"id","codigo","descricao","entrada_saida","dentro_estado","fora_estado","fora_pais","gera_icms_sn","gera_icms_proprio","gera_icms_st","gera_ipi","gera_pis_cofins"
"__export__.sped_cfop_1","1101","Compra para industrialização","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_2","1102","Compra para comercialização","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_3","1111","Compra para industrialização de mercadoria recebida anteriormente em consignação industrial","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_4","1113","Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_5","1116","Compra para industrialização originada de encomenda para recebimento futuro","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_6","1117","Compra para comercialização originada de encomenda para recebimento futuro","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_7","1118","Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_8","1120","Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_9","1121","Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_10","1122","Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_11","1124","Industrialização efetuada por outra empresa","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_12","1125","Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_13","1126","Compra para utilização na prestação de serviço","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_14","1128","Compra para utilização na prestação de serviço sujeita ao ISSQN","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_15","1151","Transferência para industrialização","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_16","1152","Transferência para comercialização","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_17","1153","Transferência de energia elétrica para distribuição","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_18","1154","Transferência para utilização na prestação de serviço","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_19","1201","Devolução de venda de produção do estabelecimento","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_20","1202","Devolução de venda de mercadoria adquirida ou recebida de terceiros","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_21","1203","Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_22","1204","Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_23","1205","Anulação de valor relativo à prestação de serviço de comunicação","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_24","1206","Anulação de valor relativo à prestação de serviço de transporte","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_25","1207","Anulação de valor relativo à venda de energia elétrica","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_26","1208","Devolução de produção do estabelecimento, remetida em transferência","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_27","1209","Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_28","1251","Compra de energia elétrica para distribuição ou comercialização","0","True","False","False","False","False","False","False","True"
"__export__.sped_cfop_29","1252","Compra de energia elétrica por estabelecimento industrial","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_30","1253","Compra de energia elétrica por estabelecimento comercial","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_31","1254","Compra de energia elétrica por estabelecimento prestador de serviço de transporte","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_32","1255","Compra de energia elétrica por estabelecimento prestador de serviço de comunicação","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_33","1256","Compra de energia elétrica por estabelecimento de produtor rural","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_34","1257","Compra de energia elétrica para consumo por demanda contratada","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_35","1301","Aquisição de serviço de comunicação para execução de serviço da mesma natureza","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_36","1302","Aquisição de serviço de comunicação por estabelecimento industrial","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_37","1303","Aquisição de serviço de comunicação por estabelecimento comercial","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_38","1304","Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_39","1305","Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_40","1306","Aquisição de serviço de comunicação por estabelecimento de produtor rural","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_41","1351","Aquisição de serviço de transporte para execução de serviço da mesma natureza","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_42","1352","Aquisição de serviço de transporte por estabelecimento industrial","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_43","1353","Aquisição de serviço de transporte por estabelecimento comercial","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_44","1354","Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_45","1355","Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_46","1356","Aquisição de serviço de transporte por estabelecimento de produtor rural","0","True","False","False","False","False","False","False","False"
"__export__.sped_cfop_47","1360","Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte.","0","True","False","False","False","False","False","False","False"
