"id","codigo","descricao"
"__export__.sped_cnae_1","0111301","CULTIVO DE ARROZ"
"__export__.sped_cnae_2","0111302","CULTIVO DE MILHO"
"__export__.sped_cnae_3","0111303","CULTIVO DE TRIGO"
"__export__.sped_cnae_4","0111399","CULTIVO DE OUTROS CEREAIS NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_5","0112101","CULTIVO DE ALGODÃO HERBÁCEO"
"__export__.sped_cnae_6","0112102","CULTIVO DE JUTA"
"__export__.sped_cnae_7","0112199","CULTIVO DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_8","0113000","CULTIVO DE CANA-DE-AÇÚCAR"
"__export__.sped_cnae_9","0114800","CULTIVO DE FUMO"
"__export__.sped_cnae_10","0115600","CULTIVO DE SOJA"
"__export__.sped_cnae_11","0116401","CULTIVO DE AMENDOIM"
"__export__.sped_cnae_12","0116402","CULTIVO DE GIRASSOL"
"__export__.sped_cnae_13","0116403","CULTIVO DE MAMONA"
"__export__.sped_cnae_14","0116499","CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_15","0119901","CULTIVO DE ABACAXI"
"__export__.sped_cnae_16","0119902","CULTIVO DE ALHO"
"__export__.sped_cnae_17","0119903","CULTIVO DE BATATA-INGLESA"
"__export__.sped_cnae_18","0119904","CULTIVO DE CEBOLA"
"__export__.sped_cnae_19","0119905","CULTIVO DE FEIJÃO"
"__export__.sped_cnae_20","0119906","CULTIVO DE MANDIOCA"
"__export__.sped_cnae_21","0119907","CULTIVO DE MELÃO"
"__export__.sped_cnae_22","0119908","CULTIVO DE MELANCIA"
"__export__.sped_cnae_23","0119909","CULTIVO DE TOMATE RASTEIRO"
"__export__.sped_cnae_24","0119999","CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_25","0121101","HORTICULTURA, EXCETO MORANGO"
"__export__.sped_cnae_26","0121102","CULTIVO DE MORANGO"
"__export__.sped_cnae_27","0122900","CULTIVO DE FLORES E PLANTAS ORNAMENTAIS"
"__export__.sped_cnae_28","0131800","CULTIVO DE LARANJA"
"__export__.sped_cnae_29","0132600","CULTIVO DE UVA"
"__export__.sped_cnae_30","0133401","CULTIVO DE AÇAÍ"
"__export__.sped_cnae_31","0133402","CULTIVO DE BANANA"
"__export__.sped_cnae_32","0133403","CULTIVO DE CAJU"
"__export__.sped_cnae_33","0133404","CULTIVO DE CÍTRICOS, EXCETO LARANJA"
"__export__.sped_cnae_34","0133405","CULTIVO DE COCO-DA-BAÍA"
"__export__.sped_cnae_35","0133406","CULTIVO DE GUARANÁ"
"__export__.sped_cnae_36","0133407","CULTIVO DE MAÇÃ"
"__export__.sped_cnae_37","0133408","CULTIVO DE MAMÃO"
"__export__.sped_cnae_38","0133409","CULTIVO DE MARACUJÁ"
"__export__.sped_cnae_39","0133410","CULTIVO DE MANGA"
"__export__.sped_cnae_40","0133411","CULTIVO DE PÊSSEGO"
"__export__.sped_cnae_41","0133499","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_42","0134200","CULTIVO DE CAFÉ"
"__export__.sped_cnae_43","0135100","CULTIVO DE CACAU"
"__export__.sped_cnae_44","0139301","CULTIVO DE CHÁ-DA-ÍNDIA"
"__export__.sped_cnae_45","0139302","CULTIVO DE ERVA-MATE"
"__export__.sped_cnae_46","0139303","CULTIVO DE PIMENTA-DO-REINO"
"__export__.sped_cnae_47","0139304","CULTIVO DE PLANTAS PARA CONDIMENTO, EXCETO PIMENTA-DO-REINO"
"__export__.sped_cnae_48","0139305","CULTIVO DE DENDÊ"
"__export__.sped_cnae_49","0139306","CULTIVO DE SERINGUEIRA"
"__export__.sped_cnae_50","0139399","CULTIVO DE OUTRAS PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_51","0141501","PRODUÇÃO DE SEMENTES CERTIFICADAS, EXCETO DE FORRAGEIRAS PARA PASTO"
"__export__.sped_cnae_52","0141502","PRODUÇÃO DE SEMENTES CERTIFICADAS DE FORRAGEIRAS PARA FORMAÇÃO DE PASTO"
"__export__.sped_cnae_53","0142300","PRODUÇÃO DE MUDAS E OUTRAS FORMAS DE PROPAGAÇÃO VEGETAL, CERTIFICADAS"
"__export__.sped_cnae_54","0151201","CRIAÇÃO DE BOVINOS PARA CORTE"
"__export__.sped_cnae_55","0151202","CRIAÇÃO DE BOVINOS PARA LEITE"
"__export__.sped_cnae_56","0151203","CRIAÇÃO DE BOVINOS, EXCETO PARA CORTE E LEITE"
"__export__.sped_cnae_57","0152101","CRIAÇÃO DE BUFALINOS"
"__export__.sped_cnae_58","0152102","CRIAÇÃO DE EQÜINOS"
"__export__.sped_cnae_59","0152103","CRIAÇÃO DE ASININOS E MUARES"
"__export__.sped_cnae_60","0153901","CRIAÇÃO DE CAPRINOS"
"__export__.sped_cnae_61","0153902","CRIAÇÃO DE OVINOS, INCLUSIVE PARA PRODUÇÃO DE LÃ"
"__export__.sped_cnae_62","0154700","CRIAÇÃO DE SUÍNOS"
"__export__.sped_cnae_63","0155501","CRIAÇÃO DE FRANGOS PARA CORTE"
"__export__.sped_cnae_64","0155502","PRODUÇÃO DE PINTOS DE UM DIA"
