"id","codigo_ibge","res_country_state_id/id","nome","uf","fuso_horario"
"__export__.sped_estado_2","12","__export__.res_country_state_53","Acre","AC","America/Rio_Branco"
"__export__.sped_estado_14","27","__export__.res_country_state_65","Alagoas","AL","America/Maceio"
"__export__.sped_estado_3","13","__export__.res_country_state_54","Amazonas","AM","America/Manaus"
"__export__.sped_estado_6","16","__export__.res_country_state_57","Amapá","AP","America/Belem"
"__export__.sped_estado_16","29","__export__.res_country_state_67","Bahia","BA","America/Bahia"
"__export__.sped_estado_10","23","__export__.res_country_state_61","Ceará","CE","America/Fortaleza"
"__export__.sped_estado_27","53","__export__.res_country_state_78","Distrito Federal","DF","America/Sao_Paulo"
"__export__.sped_estado_18","32","__export__.res_country_state_69","Espírito Santo","ES","America/Sao_Paulo"
"__export__.sped_estado_28","99","","Exterior","EX","UTC"
"__export__.sped_estado_26","52","__export__.res_country_state_77","Goiás","GO","America/Sao_Paulo"
"__export__.sped_estado_8","21","__export__.res_country_state_59","Maranhão","MA","America/Belem"
"__export__.sped_estado_17","31","__export__.res_country_state_68","Minas Gerais","MG","America/Sao_Paulo"
"__export__.sped_estado_24","50","__export__.res_country_state_75","Mato Grosso do Sul","MS","America/Campo_Grande"
"__export__.sped_estado_25","51","__export__.res_country_state_76","Mato Grosso","MT","America/Cuiaba"
"__export__.sped_estado_5","15","__export__.res_country_state_56","Pará","PA","America/Belem"
"__export__.sped_estado_12","25","__export__.res_country_state_63","Paraíba","PB","America/Recife"
"__export__.sped_estado_13","26","__export__.res_country_state_64","Pernambuco","PE","America/Recife"
"__export__.sped_estado_9","22","__export__.res_country_state_60","Piauí","PI","America/Fortaleza"
"__export__.sped_estado_21","41","__export__.res_country_state_72","Paraná","PR","America/Sao_Paulo"
"__export__.sped_estado_19","33","__export__.res_country_state_70","Rio de Janeiro","RJ","America/Sao_Paulo"
"__export__.sped_estado_11","24","__export__.res_country_state_62","Rio Grande do Norte","RN","America/Recife"
"__export__.sped_estado_1","11","__export__.res_country_state_52","Rondônia","RO","America/Porto_Velho"
"__export__.sped_estado_4","14","__export__.res_country_state_55","Roraima","RR","America/Boa_Vista"
"__export__.sped_estado_23","43","__export__.res_country_state_74","Rio Grande do Sul","RS","America/Sao_Paulo"
"__export__.sped_estado_22","42","__export__.res_country_state_73","Santa Catarina","SC","America/Sao_Paulo"
"__export__.sped_estado_15","28","__export__.res_country_state_66","Sergipe","SE","America/Maceio"
"__export__.sped_estado_20","35","__export__.res_country_state_71","São Paulo","SP","America/Sao_Paulo"
"__export__.sped_estado_7","17","__export__.res_country_state_58","Tocantins","TO","America/Araguaina"
