"id","codigo_anp","codigo_ibge","codigo_siafi","estado_id/id","nome","pais_id/id"
"__export__.sped_municipio_1","0007312","11000150000","33","__export__.sped_estado_1","Alta Floresta D'Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_7","0007315","11000230000","7","__export__.sped_estado_1","Ariquemes","__export__.sped_pais_30"
"__export__.sped_municipio_8","0007317","11000310000","37","__export__.sped_estado_1","Cabixi","__export__.sped_pais_30"
"__export__.sped_municipio_9","0007319","11000490000","9","__export__.sped_estado_1","Cacoal","__export__.sped_pais_30"
"__export__.sped_municipio_11","0007324","11000560000","27","__export__.sped_estado_1","Cerejeiras","__export__.sped_pais_30"
"__export__.sped_municipio_12","0007326","11000640000","23","__export__.sped_estado_1","Colorado do Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_13","0007327","11000720000","981","__export__.sped_estado_1","Corumbiara","__export__.sped_pais_30"
"__export__.sped_municipio_14","0007328","11000800000","21","__export__.sped_estado_1","Costa Marques","__export__.sped_pais_30"
"__export__.sped_municipio_17","0007330","11000980000","25","__export__.sped_estado_1","Espigão D'Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_22","0007332","11001060000","1","__export__.sped_estado_1","Guajará-Mirim","__export__.sped_pais_30"
"__export__.sped_municipio_25","0007335","11001140000","15","__export__.sped_estado_1","Jaru","__export__.sped_pais_30"
"__export__.sped_municipio_29","0007336","11001220000","5","__export__.sped_estado_1","Ji-Paraná","__export__.sped_pais_30"
"__export__.sped_municipio_30","0007337","11001300000","39","__export__.sped_estado_1","Machadinho D'Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_34","0007342","11001480000","41","__export__.sped_estado_1","Nova Brasilândia D'Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_35","0007347","11001550000","17","__export__.sped_estado_1","Ouro Preto do Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_37","0007350","11001890000","11","__export__.sped_estado_1","Pimenta Bueno","__export__.sped_pais_30"
"__export__.sped_municipio_39","0007352","11002050000","3","__export__.sped_estado_1","Porto Velho","__export__.sped_pais_30"
"__export__.sped_municipio_55","0007353","11002540000","19","__export__.sped_estado_1","Presidente Médici","__export__.sped_pais_30"
"__export__.sped_municipio_60","0007356","11002620000","687","__export__.sped_estado_1","Rio Crespo","__export__.sped_pais_30"
"__export__.sped_municipio_61","0007358","11002880000","29","__export__.sped_estado_1","Rolim de Moura","__export__.sped_pais_30"
"__export__.sped_municipio_62","0007359","11002960000","43","__export__.sped_estado_1","Santa Luzia D'Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_63","0007371","11003040000","13","__export__.sped_estado_1","Vilhena","__export__.sped_pais_30"
"__export__.sped_municipio_64","0007362","11003200000","45","__export__.sped_estado_1","São Miguel do Guaporé","__export__.sped_pais_30"
"__export__.sped_municipio_66","0007343","11003380000","47","__export__.sped_estado_1","Nova Mamoré","__export__.sped_pais_30"
"__export__.sped_municipio_69","0007314","11003460000","35","__export__.sped_estado_1","Alvorada D'Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_72","0007311","11003790000","2","__export__.sped_estado_1","Alto Alegre dos Parecis","__export__.sped_pais_30"
"__export__.sped_municipio_73","0007313","11004030000","675","__export__.sped_estado_1","Alto Paraíso","__export__.sped_pais_30"
"__export__.sped_municipio_74","0007316","11004520000","4","__export__.sped_estado_1","Buritis","__export__.sped_pais_30"
"__export__.sped_municipio_75","0007346","11005020000","689","__export__.sped_estado_1","Novo Horizonte do Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_76","0007318","11006010000","677","__export__.sped_estado_1","Cacaulândia","__export__.sped_pais_30"
"__export__.sped_municipio_77","0007321","11007000000","679","__export__.sped_estado_1","Campo Novo de Rondônia","__export__.sped_pais_30"
"__export__.sped_municipio_78","0007322","11008090000","681","__export__.sped_estado_1","Candeias do Jamari","__export__.sped_pais_30"
"__export__.sped_municipio_80","0007323","11009080000","691","__export__.sped_estado_1","Castanheiras","__export__.sped_pais_30"
"__export__.sped_municipio_81","0007325","11009240000","6","__export__.sped_estado_1","Chupinguaia","__export__.sped_pais_30"
"__export__.sped_municipio_82","0007329","11009400000","8","__export__.sped_estado_1","Cujubim","__export__.sped_pais_30"
"__export__.sped_municipio_83","0007331","11010050000","693","__export__.sped_estado_1","Governador Jorge Teixeira","__export__.sped_pais_30"
"__export__.sped_municipio_84","0007334","11011040000","683","__export__.sped_estado_1","Itapuã do Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_85","0007339","11012030000","695","__export__.sped_estado_1","Ministro Andreazza","__export__.sped_pais_30"
"__export__.sped_municipio_86","0007340","11013020000","697","__export__.sped_estado_1","Mirante da Serra","__export__.sped_pais_30"
"__export__.sped_municipio_87","0007341","11014010000","685","__export__.sped_estado_1","Monte Negro","__export__.sped_pais_30"
"__export__.sped_municipio_88","0007344","11014350000","10","__export__.sped_estado_1","Nova União","__export__.sped_pais_30"
"__export__.sped_municipio_89","0007348","11014500000","12","__export__.sped_estado_1","Parecis","__export__.sped_pais_30"
"__export__.sped_municipio_90","0007351","11014680000","14","__export__.sped_estado_1","Pimenteiras do Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_91","0007354","11014760000","16","__export__.sped_estado_1","Primavera de Rondônia","__export__.sped_pais_30"
"__export__.sped_municipio_92","0007360","11014840000","18","__export__.sped_estado_1","São Felipe D'Oeste","__export__.sped_pais_30"
"__export__.sped_municipio_93","0007361","11014920000","20","__export__.sped_estado_1","São Francisco do Guaporé","__export__.sped_pais_30"
"__export__.sped_municipio_94","0007363","11015000000","699","__export__.sped_estado_1","Seringueiras","__export__.sped_pais_30"
"__export__.sped_municipio_95","0007365","11015590000","22","__export__.sped_estado_1","Teixeirópolis","__export__.sped_pais_30"
"__export__.sped_municipio_96","0007366","11016090000","975","__export__.sped_estado_1","Theobroma","__export__.sped_pais_30"
"__export__.sped_municipio_97","0007367","11017080000","977","__export__.sped_estado_1","Urupá","__export__.sped_pais_30"
"__export__.sped_municipio_98","0007368","11017570000","24","__export__.sped_estado_1","Vale do Anari","__export__.sped_pais_30"
"__export__.sped_municipio_99","0007369","11018070000","979","__export__.sped_estado_1","Vale do Paraíso","__export__.sped_pais_30"
"__export__.sped_municipio_100","0000001","12000130000","643","__export__.sped_estado_2","Acrelândia","__export__.sped_pais_30"
"__export__.sped_municipio_101","0000002","12000540000","157","__export__.sped_estado_2","Assis Brasil","__export__.sped_pais_30"
"__export__.sped_municipio_102","0000003","12001040000","105","__export__.sped_estado_2","Brasiléia","__export__.sped_pais_30"
"__export__.sped_municipio_103","0000004","12001380000","645","__export__.sped_estado_2","Bujari","__export__.sped_pais_30"
"__export__.sped_municipio_104","0000005","12001790000","647","__export__.sped_estado_2","Capixaba","__export__.sped_pais_30"
"__export__.sped_municipio_105","0000006","12002030000","107","__export__.sped_estado_2","Cruzeiro do Sul","__export__.sped_pais_30"
"__export__.sped_municipio_106","0000007","12002520000","651","__export__.sped_estado_2","Epitaciolândia","__export__.sped_pais_30"
"__export__.sped_municipio_107","0000008","12003020000","113","__export__.sped_estado_2","Feijó","__export__.sped_pais_30"
"__export__.sped_municipio_108","0000009","12003280000","653","__export__.sped_estado_2","Jordão","__export__.sped_pais_30"
"__export__.sped_municipio_109","0000010","12003360000","109","__export__.sped_estado_2","Mâncio Lima","__export__.sped_pais_30"
"__export__.sped_municipio_110","0000011","12003440000","155","__export__.sped_estado_2","Manoel Urbano","__export__.sped_pais_30"
"__export__.sped_municipio_111","0000012","12003510000","655","__export__.sped_estado_2","Marechal Thaumaturgo","__export__.sped_pais_30"
"__export__.sped_municipio_112","0000013","12003850000","151","__export__.sped_estado_2","Plácido de Castro","__export__.sped_pais_30"
"__export__.sped_municipio_113","0000015","12003930000","657","__export__.sped_estado_2","Porto Walter","__export__.sped_pais_30"
"__export__.sped_municipio_114","0000016","12004010000","139","__export__.sped_estado_2","Rio Branco","__export__.sped_pais_30"
"__export__.sped_municipio_115","0000017","12004270000","659","__export__.sped_estado_2","Rodrigues Alves","__export__.sped_pais_30"
"__export__.sped_municipio_116","0000018","12004350000","661","__export__.sped_estado_2","Santa Rosa do Purus","__export__.sped_pais_30"
"__export__.sped_municipio_117","0000020","12004500000","153","__export__.sped_estado_2","Senador Guiomard","__export__.sped_pais_30"
"__export__.sped_municipio_118","0000019","12005000000","145","__export__.sped_estado_2","Sena Madureira","__export__.sped_pais_30"
"__export__.sped_municipio_119","0000021","12006090000","147","__export__.sped_estado_2","Tarauacá","__export__.sped_pais_30"
"__export__.sped_municipio_120","0000022","12007080000","149","__export__.sped_estado_2","Xapuri","__export__.sped_pais_30"
"__export__.sped_municipio_121","0000014","12008070000","649","__export__.sped_estado_2","Porto Acre","__export__.sped_pais_30"
"__export__.sped_municipio_122","0000191","13000290000","289","__export__.sped_estado_3","Alvarães","__export__.sped_pais_30"
"__export__.sped_municipio_123","0000193","13000600000","291","__export__.sped_estado_3","Amaturá","__export__.sped_pais_30"
"__export__.sped_municipio_124","0000194","13000860000","293","__export__.sped_estado_3","Anamã","__export__.sped_pais_30"
"__export__.sped_municipio_125","0000195","13001020000","203","__export__.sped_estado_3","Anori","__export__.sped_pais_30"
"__export__.sped_municipio_126","0000196","13001440000","969","__export__.sped_estado_3","Apuí","__export__.sped_pais_30"
"__export__.sped_municipio_127","0000198","13002010000","205","__export__.sped_estado_3","Atalaia do Norte","__export__.sped_pais_30"
"__export__.sped_municipio_128","0000200","13003000000","207","__export__.sped_estado_3","Autazes","__export__.sped_pais_30"
"__export__.sped_municipio_130","0000204","13004090000","209","__export__.sped_estado_3","Barcelos","__export__.sped_pais_30"
"__export__.sped_municipio_131","0000205","13005080000","211","__export__.sped_estado_3","Barreirinha","__export__.sped_pais_30"
"__export__.sped_municipio_136","0000206","13006070000","213","__export__.sped_estado_3","Benjamin Constant","__export__.sped_pais_30"
"__export__.sped_municipio_137","0000207","13006310000","295","__export__.sped_estado_3","Beruri","__export__.sped_pais_30"
"__export__.sped_municipio_138","0000208","13006800000","297","__export__.sped_estado_3","Boa Vista do Ramos","__export__.sped_pais_30"
"__export__.sped_municipio_141","0000209","13007060000","215","__export__.sped_estado_3","Boca do Acre","__export__.sped_pais_30"
"__export__.sped_municipio_143","0000210","13008050000","217","__export__.sped_estado_3","Borba","__export__.sped_pais_30"
"__export__.sped_municipio_144","0000211","13008390000","299","__export__.sped_estado_3","Caapiranga","__export__.sped_pais_30"
"__export__.sped_municipio_145","0000214","13009040000","219","__export__.sped_estado_3","Canutama","__export__.sped_pais_30"
"__export__.sped_municipio_146","0000215","13010010000","221","__export__.sped_estado_3","Carauari","__export__.sped_pais_30"
"__export__.sped_municipio_147","0000216","13011000000","223","__export__.sped_estado_3","Careiro","__export__.sped_pais_30"
"__export__.sped_municipio_148","0000217","13011590000","965","__export__.sped_estado_3","Careiro da Várzea","__export__.sped_pais_30"
"__export__.sped_municipio_149","0000219","13012090000","225","__export__.sped_estado_3","Coari","__export__.sped_pais_30"
"__export__.sped_municipio_150","0000220","13013080000","227","__export__.sped_estado_3","Codajás","__export__.sped_pais_30"
"__export__.sped_municipio_152","0000222","13014070000","229","__export__.sped_estado_3","Eirunepé","__export__.sped_pais_30"
"__export__.sped_municipio_153","0000223","13015060000","231","__export__.sped_estado_3","Envira","__export__.sped_pais_30"
"__export__.sped_municipio_154","0000225","13016050000","233","__export__.sped_estado_3","Fonte Boa","__export__.sped_pais_30"
"__export__.sped_municipio_155","0000227","13016540000","967","__export__.sped_estado_3","Guajará","__export__.sped_pais_30"
"__export__.sped_municipio_156","0000228","13017040000","235","__export__.sped_estado_3","Humaitá","__export__.sped_pais_30"
"__export__.sped_municipio_157","0000231","13018030000","239","__export__.sped_estado_3","Ipixuna","__export__.sped_pais_30"
"__export__.sped_municipio_158","0000232","13018520000","9835","__export__.sped_estado_3","Iranduba","__export__.sped_pais_30"
"__export__.sped_municipio_159","0000233","13019020000","241","__export__.sped_estado_3","Itacoatiara","__export__.sped_pais_30"
"__export__.sped_municipio_161","0000234","13019510000","9837","__export__.sped_estado_3","Itamarati","__export__.sped_pais_30"
"__export__.sped_municipio_162","0000235","13020090000","243","__export__.sped_estado_3","Itapiranga","__export__.sped_pais_30"
"__export__.sped_municipio_163","0000236","13021080000","245","__export__.sped_estado_3","Japurá","__export__.sped_pais_30"
"__export__.sped_municipio_164","0000237","13022070000","247","__export__.sped_estado_3","Juruá","__export__.sped_pais_30"
"__export__.sped_municipio_165","0000238","13023060000","249","__export__.sped_estado_3","Jutaí","__export__.sped_pais_30"
"__export__.sped_municipio_166","0000239","13024050000","251","__export__.sped_estado_3","Lábrea","__export__.sped_pais_30"
"__export__.sped_municipio_167","0000241","13025040000","253","__export__.sped_estado_3","Manacapuru","__export__.sped_pais_30"
"__export__.sped_municipio_168","0000242","13025530000","9839","__export__.sped_estado_3","Manaquiri","__export__.sped_pais_30"
"__export__.sped_municipio_169","0000243","13026030000","255","__export__.sped_estado_3","Manaus","__export__.sped_pais_30"
"__export__.sped_municipio_179","0000244","13027020000","257","__export__.sped_estado_3","Manicoré","__export__.sped_pais_30"
"__export__.sped_municipio_180","0000245","13028010000","259","__export__.sped_estado_3","Maraã","__export__.sped_pais_30"
"__export__.sped_municipio_181","0000247","13029000000","261","__export__.sped_estado_3","Maués","__export__.sped_pais_30"
"__export__.sped_municipio_184","0000251","13030070000","263","__export__.sped_estado_3","Nhamundá","__export__.sped_pais_30"
"__export__.sped_municipio_185","0000252","13031060000","265","__export__.sped_estado_3","Nova Olinda do Norte","__export__.sped_pais_30"
"__export__.sped_municipio_186","0000253","13032050000","201","__export__.sped_estado_3","Novo Airão","__export__.sped_pais_30"
"__export__.sped_municipio_187","0000254","13033040000","267","__export__.sped_estado_3","Novo Aripuanã","__export__.sped_pais_30"
"__export__.sped_municipio_188","0000256","13034030000","269","__export__.sped_estado_3","Parintins","__export__.sped_pais_30"
"__export__.sped_municipio_190","0000257","13035020000","271","__export__.sped_estado_3","Pauini","__export__.sped_pais_30"
"__export__.sped_municipio_191","0000259","13035360000","9841","__export__.sped_estado_3","Presidente Figueiredo","__export__.sped_pais_30"
"__export__.sped_municipio_193","0000261","13035690000","9843","__export__.sped_estado_3","Rio Preto da Eva","__export__.sped_pais_30"
"__export__.sped_municipio_194","0000262","13036010000","237","__export__.sped_estado_3","Santa Isabel do Rio Negro","__export__.sped_pais_30"
"__export__.sped_municipio_195","0000264","13037000000","273","__export__.sped_estado_3","Santo Antônio do Içá","__export__.sped_pais_30"
"__export__.sped_municipio_196","0000266","13038090000","283","__export__.sped_estado_3","São Gabriel da Cachoeira","__export__.sped_pais_30"
"__export__.sped_municipio_200","0000267","13039080000","275","__export__.sped_estado_3","São Paulo de Olivença","__export__.sped_pais_30"
"__export__.sped_municipio_202","0000268","13039570000","9845","__export__.sped_estado_3","São Sebastião do Uatumã","__export__.sped_pais_30"
"__export__.sped_municipio_203","0000269","13040050000","277","__export__.sped_estado_3","Silves","__export__.sped_pais_30"
"__export__.sped_municipio_204","0000270","13040620000","9847","__export__.sped_estado_3","Tabatinga","__export__.sped_pais_30"
"__export__.sped_municipio_205","0000271","13041040000","279","__export__.sped_estado_3","Tapauá","__export__.sped_pais_30"
"__export__.sped_municipio_206","0000272","13042030000","281","__export__.sped_estado_3","Tefé","__export__.sped_pais_30"
"__export__.sped_municipio_207","0000273","13042370000","9851","__export__.sped_estado_3","Tonantins","__export__.sped_pais_30"
"__export__.sped_municipio_208","0000274","13042600000","9849","__export__.sped_estado_3","Uarini","__export__.sped_pais_30"
"__export__.sped_municipio_209","0000275","13043020000","285","__export__.sped_estado_3","Urucará","__export__.sped_pais_30"
"__export__.sped_municipio_210","0000276","13044010000","287","__export__.sped_estado_3","Urucurituba","__export__.sped_pais_30"
"__export__.sped_municipio_212","0007374","14000270000","26","__export__.sped_estado_4","Amajari","__export__.sped_pais_30"
"__export__.sped_municipio_213","0007373","14000500000","305","__export__.sped_estado_4","Alto Alegre","__export__.sped_pais_30"
"__export__.sped_municipio_214","0007375","14001000000","301","__export__.sped_estado_4","Boa Vista","__export__.sped_pais_30"
"__export__.sped_municipio_215","0007376","14001590000","307","__export__.sped_estado_4","Bonfim","__export__.sped_pais_30"
"__export__.sped_municipio_216","0007377","14001750000","28","__export__.sped_estado_4","Cantá","__export__.sped_pais_30"
"__export__.sped_municipio_217","0007378","14002090000","303","__export__.sped_estado_4","Caracaraí","__export__.sped_pais_30"
"__export__.sped_municipio_218","0007379","14002330000","30","__export__.sped_estado_4","Caroebe","__export__.sped_pais_30"
"__export__.sped_municipio_219","0007380","14002820000","32","__export__.sped_estado_4","Iracema","__export__.sped_pais_30"
"__export__.sped_municipio_220","0007381","14003080000","309","__export__.sped_estado_4","Mucajaí","__export__.sped_pais_30"
"__export__.sped_municipio_221","0007382","14004070000","311","__export__.sped_estado_4","Normandia","__export__.sped_pais_30"
"__export__.sped_municipio_222","0007383","14004560000","34","__export__.sped_estado_4","Pacaraima","__export__.sped_pais_30"
"__export__.sped_municipio_223","0007384","14004720000","36","__export__.sped_estado_4","Rorainópolis","__export__.sped_pais_30"
"__export__.sped_municipio_224","0007385","14005060000","313","__export__.sped_estado_4","São João da Baliza","__export__.sped_pais_30"
"__export__.sped_municipio_225","0007386","14006050000","315","__export__.sped_estado_4","São Luiz","__export__.sped_pais_30"
"__export__.sped_municipio_226","0007387","14007040000","38","__export__.sped_estado_4","Uiramutã","__export__.sped_pais_30"
"__export__.sped_municipio_227","0004522","15001070000","401","__export__.sped_estado_5","Abaetetuba","__export__.sped_pais_30"
"__export__.sped_municipio_229","0004523","15001310000","375","__export__.sped_estado_5","Abel Figueiredo","__export__.sped_pais_30"
"__export__.sped_municipio_230","0004524","15002060000","403","__export__.sped_estado_5","Acará","__export__.sped_pais_30"
"__export__.sped_municipio_233","0004525","15003050000","405","__export__.sped_estado_5","Afuá","__export__.sped_pais_30"
"__export__.sped_municipio_234","0004527","15003470000","383","__export__.sped_estado_5","Água Azul do Norte","__export__.sped_pais_30"
"__export__.sped_municipio_235","0004529","15004040000","407","__export__.sped_estado_5","Alenquer","__export__.sped_pais_30"
"__export__.sped_municipio_236","0004531","15005030000","409","__export__.sped_estado_5","Almeirim","__export__.sped_pais_30"
"__export__.sped_municipio_239","0004534","15006020000","411","__export__.sped_estado_5","Altamira","__export__.sped_pais_30"
"__export__.sped_municipio_240","0004538","15007010000","413","__export__.sped_estado_5","Anajás","__export__.sped_pais_30"
"__export__.sped_municipio_241","0004539","15008000000","415","__export__.sped_estado_5","Ananindeua","__export__.sped_pais_30"
"__export__.sped_municipio_242","0004540","15008590000","40","__export__.sped_estado_5","Anapu","__export__.sped_pais_30"
"__export__.sped_municipio_243","0004552","15009090000","417","__export__.sped_estado_5","Augusto Corrêa","__export__.sped_pais_30"
"__export__.sped_municipio_247","0004553","15009580000","389","__export__.sped_estado_5","Aurora do Pará","__export__.sped_pais_30"
"__export__.sped_municipio_248","0004554","15010060000","419","__export__.sped_estado_5","Aveiro","__export__.sped_pais_30"
"__export__.sped_municipio_251","0004555","15011050000","421","__export__.sped_estado_5","Bagre","__export__.sped_pais_30"
"__export__.sped_municipio_253","0004556","15012040000","423","__export__.sped_estado_5","Baião","__export__.sped_pais_30"
"__export__.sped_municipio_257","0004557","15012530000","42","__export__.sped_estado_5","Bannach","__export__.sped_pais_30"
"__export__.sped_municipio_258","0004558","15013030000","425","__export__.sped_estado_5","Barcarena","__export__.sped_pais_30"
"__export__.sped_municipio_260","0004565","15014020000","427","__export__.sped_estado_5","Belém","__export__.sped_pais_30"
"__export__.sped_municipio_268","0004566","15014510000","44","__export__.sped_estado_5","Belterra","__export__.sped_pais_30"
"__export__.sped_municipio_269","0004567","15015010000","429","__export__.sped_estado_5","Benevides","__export__.sped_pais_30"
"__export__.sped_municipio_271","0004576","15015760000","575","__export__.sped_estado_5","Bom Jesus do Tocantins","__export__.sped_pais_30"
"__export__.sped_municipio_272","0004577","15016000000","431","__export__.sped_estado_5","Bonito","__export__.sped_pais_30"
"__export__.sped_municipio_273","0004578","15017090000","433","__export__.sped_estado_5","Bragança","__export__.sped_pais_30"
"__export__.sped_municipio_279","0004579","15017250000","639","__export__.sped_estado_5","Brasil Novo","__export__.sped_pais_30"
"__export__.sped_municipio_280","0004582","15017580000","577","__export__.sped_estado_5","Brejo Grande do Araguaia","__export__.sped_pais_30"
"__export__.sped_municipio_282","0004583","15017820000","625","__export__.sped_estado_5","Breu Branco","__export__.sped_pais_30"
"__export__.sped_municipio_283","0004584","15018080000","435","__export__.sped_estado_5","Breves","__export__.sped_pais_30"
"__export__.sped_municipio_287","0004585","15019070000","437","__export__.sped_estado_5","Bujaru","__export__.sped_pais_30"
"__export__.sped_municipio_289","0004586","15019560000","46","__export__.sped_estado_5","Cachoeira do Piriá","__export__.sped_pais_30"
"__export__.sped_municipio_290","0004587","15020040000","439","__export__.sped_estado_5","Cachoeira do Arari","__export__.sped_pais_30"
"__export__.sped_municipio_291","0004593","15021030000","441","__export__.sped_estado_5","Cametá","__export__.sped_pais_30"
