"id","al_iss","observacao"
"__export__.sped_aliquotaiss_1","-1.0",""
"__export__.sped_aliquotaiss_2","2.0","no SIMPLES Nacional, para fat. até R$ 120.000,00"
"__export__.sped_aliquotaiss_3","2.79","no SIMPLES Nacional, para fat. até R$ 240.000,00"
"__export__.sped_aliquotaiss_4","3.0",""
"__export__.sped_aliquotaiss_5","3.5","no SIMPLES Nacional, para fat. até R$ 360.000,00"
"__export__.sped_aliquotaiss_6","3.84","no SIMPLES Nacional, para fat. até R$ 480.000,00"
"__export__.sped_aliquotaiss_7","3.87","no SIMPLES Nacional, para fat. até R$ 600.000,00"
"__export__.sped_aliquotaiss_8","4.0",""
"__export__.sped_aliquotaiss_9","4.23","no SIMPLES Nacional, para fat. até R$ 720.000,00"
"__export__.sped_aliquotaiss_10","4.26","no SIMPLES Nacional, para fat. até R$ 840.000,00"
"__export__.sped_aliquotaiss_11","4.31","no SIMPLES Nacional, para fat. até R$ 960.000,00"
"__export__.sped_aliquotaiss_12","4.61","no SIMPLES Nacional, para fat. até R$ 1.080.000,00"
"__export__.sped_aliquotaiss_13","4.65","no SIMPLES Nacional, para fat. até R$ 1.200.000,00"
"__export__.sped_aliquotaiss_14","5.0","regular, ou no SIMPLES para fat a partir de R$ 1,320 milhões"
"__export__.sped_aliquotaiss_15","6.0",""
