CODIGO|NOME
000|Banco Bankpar S/A
001|Banco do Brasil S/A
003|Banco da Amazônia S/A
004|Banco do Nordeste do Brasil S/A
012|Banco Standard de Investimentos S/A
021|Banco do Estado do Espírito Santo S/A
024|Banco de Pernambuco S/A
025|Banco Alfa S/A
029|Banco Banerj S/A
031|Banco Beg S/A
033|Banco Santander S/A
036|Banco Bradesco BBI S/A
037|Banco do Estado do Pará S/A
040|Banco Cargill S/A
041|Banco do Estado do Rio Grande do Sul S/A
045|Banco Opportunity S/A
047|Banco do Estado de Sergipe S/A
062|Hipercard Banco Múltiplo S/A
063|Banco Ibi S/A Banco Múltiplo
064|Goldman Sachs do Brasil Banco Múltiplo S/A
065|Banco Bracce S/A
069|BPN Brasil Banco Múltiplo S/A
070|BRB - Banco de Brasília S/A
072|Banco Rural Mais S/A
073|BB Banco Popular do Brasil S/A
074|Banco J. Safra S/A
078|BES Investimento do Brasil S/A
079|Banco Original do Agronegócio S/A
081|Concórdia Banco S/A
082|Banco Topázio S/A
083|Banco da China Brasil S/A
085|Sistema Cooperativo de Crédito Urbano
095|Banco Confidence de Câmbio S/A
096|Banco BM&F BOVESPA de Serviços de Liquidação e Custódia S/A
104|Caixa Econômica Federal
107|Banco BBM S/A
119|Banco Western Union do Brasil S/A
125|Brasil Plural S/A
136|Unicred
184|Banco Itaú BBA S/A
204|Banco Bradesco Cartões S/A
208|Banco BTG Pactual S/A
214|Banco Dibens S/A
215|Banco Comercial e de Investimento Sudameris S/A
217|Banco John Deere S/A
218|Banco Bonsucesso S/A
222|Banco Credit Agricole Brasil S/A
224|Banco Fibra S/A
230|Unicard Banco Múltiplo S/A
233|Banco Cifra S/A
237|Banco Bradesco S/A
246|Banco ABC Brasil S/A
248|Banco Boavista Interatlântico S/A
249|Banco Investcred Unibanco S/A
250|BCV - Banco de Crédito e Varejo S/A
263|Banco Cacique S/A
265|Banco Fator S/A
318|Banco BMG S/A
320|Banco Industrial e Comercial S/A
341|Itaú Unibanco S/A
356|Banco Real S/A
366|Banco Société Générale Brasil S/A
370|Banco Mizuho do Brasil S/A
376|Banco J. P. Morgan S/A
389|Banco Mercantil do Brasil S/A
394|Banco Bradesco Financiamentos S/A
399|HSBC Bank Brasil S/A - Banco Múltiplo
409|UNIBANCO - União de Bancos Brasileiros S/A
422|Banco Safra S/A
453|Banco Rural S/A
456|Banco de Tokyo-Mitsubishi UFJ Brasil S/A
464|Banco Sumitomo Mitsui Brasileiro S/A
473|Banco Caixa Geral - Brasil S/A
477|Citibank S/A
479|Banco Itaú Bank S.A
487|Deutsche Bank S/A
488|JPMorgan Chase Bank
492|ING Bank N.V.
505|Banco Credit Suisse S/A
600|Banco Luso Brasileiro S/A
604|Banco Industrial do Brasil S/A
610|Banco VR S/A
611|Banco Paulista S/A
612|Banco Guanabara S/A
623|Banco Panamericano S/A
626|Banco Ficsa S/A
633|Banco Rendimento S/A
634|Banco Triângulo S/A
641|Banco Alvorada S/A
643|Banco Pine S/A
652|Itaú Unibanco Holding S/A
653|Banco Indusval S/A
655|Banco Votorantim S/A
707|Banco Daycoval S/A
719|Banif-Banco Internacional do Funchal S/A
739|Banco BGN S/A
740|Banco Barclays S/A
745|Banco Citibank S/A
746|Banco Modal S/A
747|Banco Rabobank International Brasil S/A
748|Banco Cooperativo Sicredi S/A
749|Banco Simples S/A
751|Scotiabank Brasil S/A Banco Múltiplo
752|Banco BNP Paribas Brasil S/A
755|Bank of America Merrill Lynch Banco Múltiplo S/A
756|Banco Cooperativo do Brasil S/A
